year,institute_type,pool,opening_rank,closing_rank,institute_short,program_name,program_duration,degree_short,category
2018,IIT,Male,356,473,IIT-Delhi,Chemical Engineering,4,B.Tech,ST
2018,IIT,Male,395,702,IIT-Delhi,Chemical Engineering,4,B.Tech,ST
2018,IIT,Male,188,188,IIT-Delhi,Chemical Engineering,4,B.Tech,GEN
2018,IIT,Male,90,90,IIT-Delhi,Chemical Engineering,4,B.Tech,GEN
2018,IIT,Male,58,58,IIT-Delhi,Chemical Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,767,2618,IIT-Delhi,Civil Engineering,4,B.Tech,GEN
2018,IIT,Male,520,1018,IIT-Delhi,Civil Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,153,400,IIT-Delhi,Civil Engineering,4,B.Tech,SC
2018,IIT,Male,14,47,IIT-Delhi,Civil Engineering,4,B.Tech,ST
2018,IIT,Male,70,70,IIT-Delhi,Civil Engineering,4,B.Tech,GEN
2018,IIT,Male,25,34,IIT-Delhi,Civil Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,24,115,IIT-Delhi,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,124,186,IIT-Delhi,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,33,62,IIT-Delhi,Computer Science and Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,72,140,IIT-Delhi,Computer Science and Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,23,43,IIT-Delhi,Computer Science and Engineering,4,B.Tech,SC
2018,IIT,Male,44,47,IIT-Delhi,Computer Science and Engineering,4,B.Tech,SC
2018,IIT,Male,12,19,IIT-Delhi,Computer Science and Engineering,4,B.Tech,ST
2018,IIT,Male,40,46,IIT-Delhi,Computer Science and Engineering,4,B.Tech,ST
2018,IIT,Male,5,5,IIT-Delhi,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,4,4,IIT-Delhi,Computer Science and Engineering,4,B.Tech,SC
2018,IIT,Male,80,403,IIT-Delhi,Electrical Engineering,4,B.Tech,GEN
2018,IIT,Male,63,226,IIT-Delhi,Electrical Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,16,122,IIT-Delhi,Electrical Engineering,4,B.Tech,SC
2018,IIT,Male,3,77,IIT-Delhi,Electrical Engineering,4,B.Tech,ST
2018,IIT,Male,11,14,IIT-Delhi,Electrical Engineering,4,B.Tech,GEN
2018,IIT,Male,549,999,IIT-Delhi,Information Technology,4,B.Tech,GEN
2018,IIT,Male,438,536,IIT-Delhi,Information Technology,4,B.Tech,OBC-NCL
2018,IIT,Male,133,278,IIT-Delhi,Information Technology,4,B.Tech,SC
2018,IIT,Male,11,143,IIT-Delhi,Information Technology,4,B.Tech,ST
2018,IIT,Male,1074,2809,IIT-Delhi,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,608,1565,IIT-Delhi,Computer Science and Engineering,4,B.Tech,OBC-NCL
2018,IIT,Male,481,995,IIT-Delhi,Computer Science and Engineering,4,B.Tech,SC
2018,IIT,Male,202,618,IIT-Delhi,Computer Science and Engineering,4,B.Tech,ST
2018,IIT,Male,15,15,IIT-Delhi,Computer Science and Engineering,4,B.Tech,GEN
2018,IIT,Male,250,397,IIT-Delhi,Information Technology,4,B.Tech,GEN
2018,IIT,Male,390,477,IIT-Delhi,Information Technology,4,B.Tech,GEN
2018,IIT,Male,101,266,IIT-Delhi,Information Technology,4,B.Tech,OBC-NCL
2018,IIT,Male,281,326,IIT-Delhi,Information Technology,4,B.Tech,OBC-NCL
2018,IIT,Male,110,187,IIT-Delhi,Information Technology,4,B.Tech,SC
2018,IIT,Male,219,252,IIT-Delhi,Information Technology,4,B.Tech,SC
2018,IIT,Male,240,253,IIT-Delhi,Information Technology,4,B.Tech,ST
